date(day),day,time in seconds,holiday,peak,rain,100,132f,113t,165t,132t,113f,165f,328
1,Monday,19800,FALSE,FALSE,light,4,3,0,0,0,0,0,2
1,Monday,19815,FALSE,FALSE,light,0,3,0,0,0,0,0,0
1,Monday,19830,FALSE,FALSE,light,0,3,1,0,0,0,0,0
1,Monday,19845,FALSE,FALSE,light,2,3,1,0,0,0,0,0
1,Monday,19860,FALSE,FALSE,light,3,3,1,0,0,0,0,1
1,Monday,19875,FALSE,FALSE,light,4,3,1,0,0,0,0,1
1,Monday,19890,FALSE,FALSE,light,4,3,1,0,0,1,0,1
1,Monday,19905,FALSE,FALSE,light,4,4,1,0,0,1,0,1
1,Monday,19920,FALSE,FALSE,light,4,4,1,0,0,2,0,2
1,Monday,19935,FALSE,FALSE,light,4,4,2,0,0,2,0,2
1,Monday,19950,FALSE,FALSE,light,4,4,2,0,0,2,0,2
1,Monday,19965,FALSE,FALSE,light,4,4,2,0,0,3,0,2
1,Monday,19980,FALSE,FALSE,light,4,5,2,0,0,3,0,2
1,Monday,19995,FALSE,FALSE,light,5,5,2,0,0,3,1,3
1,Monday,20010,FALSE,FALSE,light,5,5,2,0,0,4,1,3
1,Monday,20025,FALSE,FALSE,heavy,5,5,3,0,0,5,1,3
1,Monday,20040,FALSE,FALSE,heavy,5,5,3,0,0,5,1,4
1,Monday,20055,FALSE,FALSE,heavy,6,0,3,0,0,5,2,4
1,Monday,20070,FALSE,FALSE,heavy,6,0,3,0,0,5,2,4
1,Monday,20085,FALSE,FALSE,heavy,6,0,3,0,0,5,3,4
1,Monday,20100,FALSE,FALSE,heavy,6,1,3,1,0,5,3,5
1,Monday,20115,FALSE,FALSE,heavy,6,2,3,1,0,5,3,5
1,Monday,20130,FALSE,FALSE,heavy,6,2,4,1,0,6,3,5
1,Monday,20145,FALSE,FALSE,heavy,6,3,4,1,0,6,3,5
1,Monday,20160,FALSE,FALSE,heavy,7,3,4,2,0,6,3,5
1,Monday,20175,FALSE,FALSE,heavy,7,4,4,2,0,6,3,5
1,Monday,20190,FALSE,FALSE,heavy,7,4,4,2,0,6,3,5
1,Monday,20205,FALSE,FALSE,heavy,7,4,5,2,0,6,4,5
1,Monday,20220,FALSE,FALSE,heavy,7,5,5,2,0,7,4,5
1,Monday,20235,FALSE,FALSE,heavy,7,6,5,2,0,7,4,5
1,Monday,20250,FALSE,FALSE,heavy,8,7,5,3,0,7,4,5
1,Monday,20265,FALSE,FALSE,heavy,8,7,5,3,1,7,4,5
1,Monday,20280,FALSE,FALSE,heavy,9,8,0,3,1,0,4,5
1,Monday,20295,FALSE,FALSE,heavy,9,9,0,3,1,1,4,5
1,Monday,20310,FALSE,FALSE,heavy,9,10,0,3,2,1,4,5
1,Monday,20325,FALSE,FALSE,heavy,9,10,1,3,2,1,5,5
1,Monday,20340,FALSE,FALSE,heavy,9,10,2,3,2,1,5,5
1,Monday,20355,FALSE,FALSE,heavy,9,0,2,3,2,1,5,0
1,Monday,20370,FALSE,FALSE,heavy,13,1,3,3,2,1,5,1
1,Monday,20385,FALSE,FALSE,heavy,13,2,3,4,2,2,5,1
1,Monday,20400,FALSE,FALSE,heavy,13,3,4,4,2,2,5,1
1,Monday,20415,FALSE,FALSE,heavy,13,4,4,4,2,2,5,2
1,Monday,20430,FALSE,FALSE,heavy,13,5,4,4,2,3,5,2
1,Monday,20445,FALSE,FALSE,heavy,0,5,5,5,2,4,5,2
1,Monday,20460,FALSE,FALSE,heavy,0,5,6,5,3,5,5,2
1,Monday,20475,FALSE,FALSE,heavy,3,5,7,5,3,5,5,2
1,Monday,20490,FALSE,FALSE,heavy,4,6,7,5,3,5,6,2
1,Monday,20505,FALSE,FALSE,heavy,4,6,8,5,3,5,6,3
1,Monday,20520,FALSE,FALSE,heavy,5,7,9,0,3,5,6,3
1,Monday,20535,FALSE,FALSE,heavy,5,7,10,0,3,6,6,3
1,Monday,20550,FALSE,FALSE,heavy,5,7,10,0,3,7,6,3
1,Monday,20565,FALSE,FALSE,heavy,5,7,10,1,3,7,6,3
1,Monday,20580,FALSE,FALSE,heavy,5,7,0,2,3,7,0,4
1,Monday,20595,FALSE,FALSE,heavy,6,8,1,2,4,7,1,4
1,Monday,20610,FALSE,FALSE,heavy,6,8,2,3,4,8,1,4
1,Monday,20625,FALSE,FALSE,heavy,7,8,3,3,4,8,1,5
1,Monday,20640,FALSE,FALSE,heavy,7,9,4,4,4,8,1,5
